aX,aY,aZ,gX,gY,gZ
0.912,-0.349,1.588,21.179,-41.626,-30.823
0.911,-0.392,1.731,15.259,-37.781,-29.480
0.902,-0.434,1.886,11.230,-32.166,-27.954
0.861,-0.481,2.038,9.766,-25.757,-26.794
0.769,-0.521,2.161,8.057,-18.738,-26.489
0.658,-0.538,2.291,1.282,-9.888,-26.306
0.513,-0.531,2.478,-11.475,2.014,-25.269
0.313,-0.546,2.683,-26.794,19.775,-22.949
0.110,-0.576,2.842,-40.833,45.105,-19.958
-0.072,-0.656,2.926,-50.781,78.613,-15.564
-0.238,-0.715,2.878,-60.913,116.455,-8.728
-0.364,-0.686,2.738,-68.970,153.564,1.160
-0.439,-0.506,2.550,-71.106,184.509,15.137
-0.526,-0.328,2.300,-56.885,205.566,28.625
-0.634,-0.231,2.036,-32.715,216.125,36.377
-0.726,-0.215,1.808,-12.146,218.323,35.645
-0.829,-0.304,1.664,3.540,215.454,28.259
-0.974,-0.545,1.643,17.212,210.205,19.043
-1.134,-0.780,1.670,31.006,207.703,15.564
-1.330,-0.966,1.633,52.734,213.806,25.635
-1.524,-1.103,1.499,75.806,227.661,50.537
-1.651,-1.194,1.323,84.106,244.995,85.144
-1.788,-1.182,1.156,78.186,263.428,121.704
-1.932,-1.102,0.961,68.848,283.508,157.776
-2.008,-1.031,0.739,65.125,302.917,193.848
-2.075,-0.895,0.532,65.369,317.322,228.271
-2.167,-0.732,0.311,73.303,324.402,261.475
-2.255,-0.572,0.078,86.914,324.707,295.593
-2.292,-0.431,-0.138,99.121,317.322,330.383
-2.374,-0.265,-0.279,102.905,303.284,365.112
-2.480,-0.089,-0.299,99.976,285.461,399.109
-2.546,0.166,-0.250,104.980,266.602,433.228
-2.680,0.439,-0.212,125.549,249.084,466.003
-2.850,0.679,-0.199,144.470,236.755,494.019
-3.023,0.919,-0.339,158.020,227.905,518.372
-3.057,1.167,-0.617,157.959,221.558,544.678
-3.107,1.471,-0.791,149.292,210.876,569.885
-3.154,1.808,-0.888,148.560,187.500,590.515
-3.109,2.209,-1.010,156.982,154.663,608.032
-3.124,2.631,-1.022,176.025,115.295,618.591
-3.142,2.935,-0.963,190.857,63.660,617.187
-3.044,3.205,-0.839,181.885,9.766,603.638
-2.957,3.456,-0.681,166.382,-33.691,580.444
-2.947,3.735,-0.610,156.372,-70.129,550.476
-2.745,3.980,-0.642,147.705,-103.027,517.639
-2.429,4.000,-0.677,150.269,-138.550,477.600
-2.262,4.000,-0.589,160.828,-179.077,422.485
-2.144,4.000,-0.428,168.701,-218.628,350.403
-2.049,4.000,-0.194,168.884,-248.169,263.306
-1.973,4.000,0.047,161.743,-263.977,166.748
-1.889,4.000,0.248,150.269,-267.578,68.481
-1.784,4.000,0.376,138.428,-262.939,-24.475
-1.764,3.798,0.431,135.254,-254.272,-107.605
-1.714,3.411,0.434,134.766,-244.995,-177.307
-1.730,3.011,0.437,131.226,-236.816,-236.084
-1.721,2.732,0.472,120.850,-231.506,-288.391
-1.751,2.378,0.462,120.667,-227.600,-335.510
-1.721,1.927,0.383,132.507,-226.929,-371.704
-1.741,1.675,0.473,119.812,-229.797,-404.480
-1.541,1.259,0.626,98.694,-232.666,-424.866
-1.358,1.236,0.858,58.777,-234.131,-431.152
-1.204,1.265,1.098,27.161,-231.995,-433.533
-1.212,1.370,1.286,11.108,-221.985,-445.557
-1.328,1.468,1.467,0.183,-209.961,-475.769
-1.633,1.474,1.679,-1.953,-203.247,-520.691
-2.033,1.258,1.867,9.766,-200.317,-573.120
-2.448,0.849,1.964,35.767,-195.312,-623.657
-2.630,0.360,1.913,59.631,-182.983,-664.185
-2.701,0.006,1.841,65.918,-166.199,-687.378
-2.553,-0.377,1.622,78.796,-151.123,-688.232
-2.429,-0.505,1.450,81.909,-143.738,-672.180
-2.419,-0.460,1.322,79.407,-143.188,-646.667
-2.463,-0.425,1.310,75.134,-143.433,-622.192
-2.500,-0.496,1.407,62.805,-139.099,-605.164
-2.298,-0.622,1.549,48.218,-127.075,-590.332
-2.101,-0.842,1.597,48.462,-108.215,-566.895
-2.006,-1.122,1.563,53.406,-84.717,-532.471
-1.831,-1.529,1.440,48.035,-60.425,-492.310
-1.519,-1.994,1.287,39.246,-38.757,-445.068
-1.174,-2.339,1.140,29.785,-24.597,-388.489
-0.818,-2.510,1.032,28.564,-16.907,-319.397
-0.590,-2.477,0.923,38.818,-16.968,-240.356
-0.475,-2.298,0.818,52.124,-23.071,-157.776
-0.359,-1.997,0.753,49.988,-30.701,-79.712
-0.214,-1.633,0.741,25.818,-35.645,-10.437
-0.046,-1.190,0.788,-12.085,-36.682,46.936
0.094,-0.715,0.859,-47.974,-34.973,92.529
0.199,-0.238,0.925,-68.665,-32.654,124.146
0.302,0.189,1.006,-72.449,-31.067,142.334
0.367,0.521,1.089,-61.584,-30.151,146.973
0.399,0.765,1.148,-43.945,-28.931,137.512
0.407,0.882,1.187,-26.123,-25.513,116.760
0.430,0.900,1.208,-11.353,-18.494,89.050
0.452,0.810,1.162,2.502,-8.301,60.852
0.470,0.698,1.020,16.357,2.380,36.072
0.505,0.521,0.874,27.588,12.329,19.897
0.537,0.364,0.753,27.405,18.005,12.756
0.548,0.287,0.683,16.479,19.104,12.451
0.563,0.290,0.643,5.798,18.250,16.479
0.568,0.321,0.630,-0.549,15.991,21.851
0.540,0.384,0.606,-1.892,13.000,23.987
0.516,0.412,0.572,0.671,9.277,23.621
0.520,0.414,0.575,2.563,4.700,20.203
0.533,0.396,0.626,4.028,-1.709,15.015
0.535,0.354,0.711,10.803,-8.301,11.169
0.539,0.326,0.796,19.958,-15.076,10.498
0.518,0.297,0.870,29.602,-19.287,12.329
