aX,aY,aZ,gX,gY,gZ
-0.311,1.595,2.236,-15.808,-114.746,11.536
-0.317,1.452,2.084,-29.358,-88.623,-22.522
-0.316,1.276,2.028,-48.950,-71.289,-52.185
-0.274,1.088,2.061,-69.580,-57.068,-75.623
-0.214,0.935,2.169,-90.393,-43.091,-93.994
-0.155,0.799,2.326,-98.938,-28.931,-106.873
-0.153,0.684,2.491,-99.060,-12.573,-115.784
-0.146,0.603,2.589,-93.079,8.240,-122.375
-0.163,0.542,2.577,-81.055,32.959,-126.953
-0.206,0.490,2.490,-65.125,57.068,-130.493
-0.231,0.436,2.376,-51.392,77.515,-133.667
-0.297,0.385,2.294,-46.021,94.849,-135.803
-0.352,0.385,2.266,-53.711,110.840,-137.329
-0.403,0.353,2.252,-62.683,126.160,-138.733
-0.433,0.343,2.259,-70.190,142.334,-141.968
-0.449,0.286,2.260,-71.228,158.691,-146.606
-0.460,0.192,2.262,-63.843,176.819,-151.062
-0.500,0.068,2.230,-50.720,197.510,-153.076
-0.567,-0.033,2.095,-32.654,221.252,-150.574
-0.635,-0.048,1.828,-11.108,244.751,-142.578
-0.650,-0.008,1.455,13.733,262.939,-131.409
-0.648,0.075,1.065,36.377,271.790,-121.887
-0.626,0.074,0.675,54.138,270.142,-115.723
-0.545,0.018,0.365,60.608,259.460,-113.647
-0.420,-0.073,0.180,54.565,243.286,-112.183
-0.269,-0.242,0.113,41.321,224.487,-107.544
-0.157,-0.321,0.162,19.043,206.482,-98.267
-0.080,-0.344,0.229,0.366,193.420,-83.618
-0.013,-0.304,0.240,-5.798,185.547,-66.589
0.006,-0.149,0.235,-7.812,180.664,-52.795
0.027,-0.031,0.073,0.000,175.293,-43.396
0.132,0.066,-0.052,8.423,167.480,-40.222
0.158,0.079,-0.112,19.409,153.625,-42.236
0.179,0.117,-0.082,21.729,138.245,-45.105
0.207,0.104,-0.085,26.978,125.916,-45.044
0.241,0.047,-0.144,33.875,117.065,-41.077
0.269,0.021,-0.184,32.043,108.337,-34.790
0.296,0.018,-0.182,23.193,97.473,-27.405
0.352,0.040,-0.160,12.207,86.121,-20.386
0.377,0.063,-0.140,6.897,76.111,-14.587
0.420,0.108,-0.123,7.019,67.078,-9.338
0.496,0.142,-0.066,10.742,58.289,-5.737
0.532,0.208,0.022,13.794,49.438,-4.822
0.549,0.279,0.093,17.761,41.748,-5.737
0.559,0.298,0.119,28.137,35.889,-7.935
0.559,0.303,0.119,36.438,31.067,-10.803
0.553,0.297,0.100,41.504,25.879,-13.184
0.559,0.236,0.095,42.419,19.287,-14.587
0.571,0.170,0.130,32.776,11.902,-15.320
0.578,0.098,0.193,18.677,5.005,-14.587
0.603,0.055,0.254,5.737,-0.061,-10.681
0.627,0.035,0.306,-3.113,-3.113,-3.723
0.643,0.071,0.352,-7.202,-4.883,5.127
0.652,0.144,0.362,-6.958,-6.958,14.099
0.662,0.243,0.370,-4.578,-11.108,20.264
0.680,0.321,0.400,-2.869,-15.869,22.034
0.685,0.378,0.440,-1.404,-20.264,19.836
0.691,0.409,0.487,2.747,-23.499,16.479
0.698,0.378,0.531,10.864,-25.452,12.817
0.686,0.355,0.567,15.625,-26.306,8.423
0.667,0.355,0.572,17.334,-25.757,6.470
0.667,0.354,0.554,20.813,-24.658,6.897
0.644,0.354,0.541,21.240,-24.536,7.507
0.644,0.350,0.555,14.160,-25.452,7.080
0.637,0.349,0.587,7.385,-27.588,6.409
0.626,0.345,0.637,3.418,-28.381,5.432
0.629,0.308,0.697,4.639,-27.954,4.517
0.640,0.328,0.763,6.470,-26.489,3.723
0.626,0.331,0.795,14.648,-22.949,3.296
0.624,0.317,0.797,25.452,-17.090,2.930
0.634,0.313,0.759,32.043,-10.925,1.953
0.628,0.299,0.715,33.936,-6.592,0.061
0.629,0.290,0.661,32.898,-4.211,-1.587
0.633,0.271,0.597,28.809,-2.380,-2.319
0.639,0.260,0.542,20.813,-2.136,-2.502
0.652,0.220,0.522,10.254,-3.601,-2.380
0.658,0.213,0.539,-0.305,-5.920,-1.160
0.682,0.215,0.563,-4.822,-9.583,1.526
0.679,0.269,0.600,-3.357,-12.512,4.639
0.663,0.274,0.612,4.456,-13.794,7.202
0.677,0.303,0.629,7.690,-14.343,8.179
0.681,0.321,0.652,5.371,-14.954,7.568
0.679,0.329,0.686,3.723,-15.564,6.348
0.678,0.346,0.727,2.686,-15.442,5.127
0.658,0.332,0.741,4.089,-13.794,4.089
0.662,0.315,0.743,5.371,-11.536,2.869
0.663,0.341,0.740,4.700,-9.155,2.380
0.661,0.333,0.718,7.996,-7.568,3.540
0.663,0.336,0.698,7.568,-6.653,4.395
0.666,0.342,0.690,2.258,-6.470,4.211
0.670,0.328,0.686,-1.526,-6.775,3.662
0.670,0.320,0.693,-4.211,-7.263,3.479
0.670,0.308,0.697,-6.409,-7.812,3.357
0.669,0.313,0.700,-6.775,-8.301,3.479
0.673,0.350,0.705,-5.554,-8.850,3.723
0.665,0.367,0.715,1.221,-9.094,4.150
0.652,0.350,0.718,8.240,-9.827,3.113
0.645,0.352,0.740,8.789,-9.827,0.916
0.639,0.331,0.749,9.277,-9.033,-1.160
0.638,0.296,0.751,12.329,-8.118,-2.136
0.641,0.275,0.749,12.573,-6.897,-2.197
0.642,0.267,0.742,11.475,-5.432,-1.526
0.636,0.273,0.731,10.925,-4.211,-0.061
0.629,0.278,0.717,11.475,-3.723,1.099
0.625,0.280,0.709,11.047,-3.784,2.258
0.619,0.289,0.709,8.728,-3.723,2.747
0.622,0.288,0.709,6.958,-4.333,3.052
0.622,0.293,0.722,5.554,-5.310,3.479
0.620,0.301,0.734,2.808,-5.432,3.906
0.631,0.303,0.742,0.305,-4.761,4.395
0.642,0.338,0.746,-1.404,-3.845,4.822
0.631,0.362,0.743,-1.343,-2.014,5.493
