aX,aY,aZ,gX,gY,gZ
-0.377,-1.141,1.787,-17.822,64.270,99.976
-0.459,-1.259,1.830,-16.602,81.604,127.747
-0.561,-1.338,1.843,-16.846,101.563,161.194
-0.659,-1.289,1.840,-20.935,122.620,198.242
-0.731,-1.158,1.794,-17.517,142.944,236.206
-0.793,-1.000,1.706,-4.822,160.217,269.226
-0.855,-0.943,1.619,8.667,171.814,293.152
-0.877,-0.909,1.539,11.475,177.979,306.641
-0.922,-0.884,1.459,8.728,182.617,316.650
-1.026,-0.979,1.394,9.521,188.904,330.261
-1.098,-0.970,1.352,5.005,196.289,350.159
-1.178,-0.807,1.288,3.296,204.590,377.319
-1.318,-0.658,1.195,19.409,212.830,409.607
-1.491,-0.418,1.107,34.912,219.055,440.857
-1.637,-0.003,0.993,42.603,221.558,467.712
-1.768,0.406,0.869,63.721,219.910,488.037
-1.930,0.762,0.729,89.111,215.454,499.023
-2.060,1.202,0.493,107.849,209.900,502.808
-2.007,1.600,0.241,125.549,201.416,501.587
-1.970,1.900,0.156,144.531,181.641,489.868
-2.033,2.081,0.245,153.687,150.391,463.806
-2.102,2.151,0.398,151.672,118.958,429.260
-2.169,2.348,0.469,138.794,98.145,395.813
-2.121,2.645,0.434,132.324,93.933,373.413
-2.059,2.979,0.345,143.188,97.046,355.896
-2.117,3.296,0.250,154.175,93.811,328.247
-2.041,3.964,-0.398,158.020,81.238,288.330
-1.881,4.000,-0.213,134.949,38.635,142.029
-1.459,3.353,0.108,139.465,-11.292,-48.584
-1.554,2.738,0.365,133.423,-19.043,-60.364
-1.791,2.400,0.430,124.023,-13.916,-11.292
-1.900,2.438,0.350,39.490,-3.479,34.912
-1.761,2.850,0.213,-65.918,0.610,48.950
-1.622,3.196,0.169,-137.024,-13.000,23.682
-1.549,3.482,0.244,-153.625,-44.556,-28.809
-1.536,3.625,0.371,-116.089,-84.534,-99.060
-1.640,3.633,0.536,-55.908,-118.042,-180.847
-1.822,3.519,0.699,-10.132,-135.010,-268.799
-1.953,3.324,0.732,8.118,-136.230,-356.140
-2.068,3.120,0.646,5.981,-129.028,-435.913
-2.270,2.875,0.495,2.625,-123.962,-507.446
-2.529,2.551,0.358,1.099,-128.174,-573.242
-2.797,2.170,0.272,-6.653,-141.602,-632.141
-3.013,1.662,0.285,-23.315,-161.133,-680.786
-3.168,1.142,0.398,-47.607,-184.387,-715.942
-3.227,0.636,0.617,-66.040,-208.374,-734.131
-3.154,0.226,0.897,-71.838,-228.516,-735.352
-3.103,-0.062,1.113,-66.467,-239.563,-721.436
-3.001,-0.318,1.291,-47.119,-237.854,-696.350
-2.919,-0.545,1.459,-22.461,-226.990,-667.053
-2.875,-0.699,1.583,-5.615,-213.379,-640.381
-2.765,-0.955,1.653,10.315,-196.045,-620.422
-2.619,-1.351,1.677,24.475,-170.593,-602.661
-2.496,-1.767,1.673,24.597,-139.709,-575.806
